Cell_type,Cell_chemistry,Form_factor,Approximate Recording Frequency,Test_id,SOC,Temperature,Cell_id,Lot,Comment
Ultralife 502030,LCO,pouch,half yearly,T0000020,50,24,C00094,L004,Data is for double bagged.
Ultralife 502030,LCO,pouch,half yearly,T0000020,50,24,C00095,L004,Data is for double bagged.
Ultralife 502030,LCO,pouch,half yearly,T0000020,50,24,C00096,L004,Data is for double bagged.
Ultralife 502030,LCO,pouch,half yearly,T0000020,50,24,C00097,L004,Data is for double bagged.
Ultralife 502030,LCO,pouch,half yearly,T0000021,100,24,C00098,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000021,100,24,C00099,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000021,100,24,C00100,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000021,100,24,C00101,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000021,100,24,C00102,L004,
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00103,L005,Erronenous data at M04 deleted
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00104,L005,
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00105,L005,
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00106,L005,
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00107,L005,
Sony-Murata US18650VTC6,NMC,18650,monthly,T0000022,100,24,C00108,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00109,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00110,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00111,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00112,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00113,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000023,100,60,C00114,L005,
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00115,L005,Only 1 data point
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00116,L005,Only 1 data point
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00117,L005,Only 1 data point
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00118,L005,Only 1 data point
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00119,L005,Only 1 data point
Sony-Murata US18650VTC6,NMC,18650,weekly,T0000024,100,85,C00120,L005,Only 1 data point
K2 Energy LFP18650P,LFP,18650,monthly,T0000025,50,24,C00121,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000025,50,24,C00122,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000025,50,24,C00123,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000025,50,24,C00124,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000025,50,24,C00125,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000026,100,24,C00126,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000026,100,24,C00127,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000026,100,24,C00128,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000026,100,24,C00129,L006,
K2 Energy LFP18650P,LFP,18650,monthly,T0000026,100,24,C00130,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000027,50,45,C00131,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000027,50,45,C00132,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000027,50,45,C00133,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000027,50,45,C00134,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000027,50,45,C00135,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000028,100,45,C00136,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000028,100,45,C00137,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000028,100,45,C00138,L006,Erronenous data at W86 deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000028,100,45,C00139,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000028,100,45,C00140,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000029,50,60,C00141,L006,W32 erroneous data deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000029,50,60,C00142,L006,W32 erroneous data deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000029,50,60,C00143,L006,W32 and W91 erroneous data deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000029,50,60,C00144,L006,W32 and W91 erroneous data deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000029,50,60,C00145,L006,W32 and W91 erroneous data deleted
K2 Energy LFP18650P,LFP,18650,weekly,T0000030,100,60,C00146,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000030,100,60,C00147,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000030,100,60,C00148,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000030,100,60,C00149,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000030,100,60,C00150,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000031,50,85,C00151,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000031,50,85,C00152,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000031,50,85,C00153,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000031,50,85,C00154,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000031,50,85,C00155,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000032,100,85,C00156,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000032,100,85,C00157,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000032,100,85,C00158,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000032,100,85,C00159,L006,
K2 Energy LFP18650P,LFP,18650,weekly,T0000032,100,85,C00160,L006,
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00161,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00162,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00163,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00164,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00165,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000033,100,60,C00166,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00167,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00168,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00169,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00170,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00171,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
K2 Energy LFP18650P_v2,LFP,18650,weekly,T0000034,100,85,C00172,L007,"different Lot from the other K2 Energy Cells, not included in analysis"
Tenergy 302030,LCO,pouch,monthly,T0000035,100,24,C00173,L008,
Tenergy 302030,LCO,pouch,monthly,T0000035,100,24,C00174,L008,
Tenergy 302030,LCO,pouch,monthly,T0000035,100,24,C00175,L008,
Tenergy 302030,LCO,pouch,monthly,T0000035,100,24,C00176,L008,
Tenergy 302030,LCO,pouch,monthly,T0000035,100,24,C00177,L008,
Tenergy 302030,LCO,pouch,weekly,T0000036,100,60,C00178,L008,
Tenergy 302030,LCO,pouch,weekly,T0000036,100,60,C00179,L008,
Tenergy 302030,LCO,pouch,weekly,T0000036,100,60,C00180,L008,
Tenergy 302030,LCO,pouch,weekly,T0000036,100,60,C00181,L008,
Tenergy 302030,LCO,pouch,weekly,T0000036,100,60,C00182,L008,
Tenergy 302030,LCO,pouch,weekly,T0000037,100,85,C00183,L008,
Tenergy 302030,LCO,pouch,weekly,T0000037,100,85,C00184,L008,
Tenergy 302030,LCO,pouch,weekly,T0000037,100,85,C00185,L008,
Tenergy 302030,LCO,pouch,weekly,T0000037,100,85,C00186,L008,
Tenergy 302030,LCO,pouch,weekly,T0000037,100,85,C00187,L008,
Tenergy 302030,LCO,pouch,half yearly,T0000038,50,24,C00188,L008,
Tenergy 302030,LCO,pouch,half yearly,T0000038,50,24,C00189,L008,
Tenergy 302030,LCO,pouch,half yearly,T0000038,50,24,C00190,L008,
Tenergy 302030,LCO,pouch,half yearly,T0000038,50,24,C00191,L008,
Tenergy 302030,LCO,pouch,half yearly,T0000038,50,24,C00192,L008,
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00193,L008,
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00194,L008,
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00195,L008,"First diagnostic (M00) Test Time and Step time are in xd xx:xx:xx format. Left in raw data as is, doesn't affect summary data since it bases of index"
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00196,L008,
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00197,L008,
Tenergy 302030,LCO,pouch,yearly,T0000039,50,24,C00198,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00199,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00200,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00201,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00202,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00203,L008,
Tenergy 302030,LCO,pouch,two yearly,T0000040,50,24,C00204,L008,
K2 Energy LFP18650E,LFP,18650,monthly,T0000041,50,24,C00205,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000041,50,24,C00206,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000041,50,24,C00207,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000041,50,24,C00208,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000041,50,24,C00209,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000042,100,24,C00210,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000042,100,24,C00211,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000042,100,24,C00212,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000042,100,24,C00213,L009,
K2 Energy LFP18650E,LFP,18650,monthly,T0000042,100,24,C00214,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000043,50,45,C00215,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000043,50,45,C00216,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000043,50,45,C00217,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000043,50,45,C00218,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000043,50,45,C00219,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000044,100,45,C00220,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000044,100,45,C00221,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000044,100,45,C00222,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000044,100,45,C00223,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000044,100,45,C00224,L009,"week99/diagnum98 cycle 6 has corrupted energy data (not removed present in raw data, looks like: 525,221.92287)"
K2 Energy LFP18650E,LFP,18650,weekly,T0000045,50,60,C00225,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000045,50,60,C00226,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000045,50,60,C00227,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000045,50,60,C00228,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000045,50,60,C00229,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000046,100,60,C00230,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000046,100,60,C00231,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000046,100,60,C00232,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000046,100,60,C00233,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000046,100,60,C00234,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000047,50,85,C00235,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000047,50,85,C00236,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000047,50,85,C00237,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000047,50,85,C00238,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000047,50,85,C00239,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000048,100,85,C00240,L009,Diagnostic 3 partially complete third high rate RPT not fully available
K2 Energy LFP18650E,LFP,18650,weekly,T0000048,100,85,C00241,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000048,100,85,C00242,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000048,100,85,C00243,L009,
K2 Energy LFP18650E,LFP,18650,weekly,T0000048,100,85,C00244,L009,
K2 Energy LFP18650E_v2,LFP,18650,monthly,T0000049,50,24,C00245,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,monthly,T0000049,50,24,C00246,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,monthly,T0000049,50,24,C00247,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,monthly,T0000049,50,24,C00248,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,monthly,T0000049,50,24,C00249,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000050,100,60,C00250,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000050,100,60,C00251,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000050,100,60,C00252,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000050,100,60,C00253,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000050,100,60,C00254,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000051,100,85,C00255,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000051,100,85,C00256,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000051,100,85,C00257,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000051,100,85,C00258,L010,"Different lot from other K2 Energy cells, not used in analysis"
K2 Energy LFP18650E_v2,LFP,18650,weekly,T0000051,100,85,C00259,L010,"Different lot from other K2 Energy cells, not used in analysis"
